timestamp,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99
1745596779.3584535,2.4266661029250827,2.4247335802356247,2.4211906219716184,2.4170034894777928,2.4124942698690575,2.4066967018006835,2.4018653950770386,2.3989666110428516,2.3999328723875806,2.401543307962129,2.3999328723875806,2.395745739893755,2.3902702589402907,2.3838285166420974,2.3809297326079104,2.376420512999175,2.374487990309717,2.372877554735169,2.369656683586072,2.364181202632608,2.3567731989896856,2.3480768468871247,2.3397025818994734,2.336159623635467,2.334549188060919,2.332294578256551,2.329717881337274,2.322954051924171,2.3136135255917907,2.3033067379146814,2.29493247292703,2.2868802950542886,2.2804385527560953,2.2785060300666373,2.2775397687219083,2.2756072460324503,2.270131765078986,2.2656225454702508,2.259824977401877,2.257892454712419,2.254671583563322,2.253705322218593,2.2517727995291352,2.248229841265129,2.2430764474265743,2.240499750507297,2.2379230535880197,2.2372788793582004,2.239533489162568,2.2430764474265743,2.246297318575671,2.2517727995291352,2.2543494964484125,2.25692619336769,2.2582145418273285,2.260791238746606,2.2656225454702508,2.2717422006535344,2.2810827269859146,2.2891349048586562,2.298797518305946,2.308460131753236,2.3184448323154356,2.328429532877635,2.3422792788187508,2.356451111874776,2.37191129339044,2.3876935620210133,2.402187482191948,2.417647663707612,2.432141583878547,2.4479238525091205,2.4643502953695133,2.478844215540448,2.494304397056112,2.5113750141463242,2.5284456312365364,2.54422789986711,2.556467210233677,2.568062346370425,2.5783691340475343,2.5896421830693725,2.600593144976301,2.6118661939981394,2.6224950687901583,2.632157682237448,2.6385994245356414,2.645685341063654,2.6489062122127507,2.653415431821486,2.6566363029705826,2.660179261234589,2.665010567958234,2.669841874681879,2.672740658716066,2.6720964844862465,2.672418571601156,2.6759615298651624,2.6785382267844398,2.683047446393175
1745596779.4741204,2.685946230427362,2.688845014461549,2.6894891886913683,2.6885229273466393,2.6910996242659166,2.6920658856106456,2.694642582529923,2.6952867567597423,2.69754136656411,2.7007622377132066,2.701406411943026,2.698507627908839,2.6943204954150133,2.6894891886913683,2.68787875311682,2.6882008402317297,2.6910996242659166,2.694642582529923,2.696575105219381,2.6949646696448326,2.6923879727255553,2.6904554500360973,2.6882008402317297,2.6853020561975427,2.684013707737904,2.6853020561975427,2.6875566660019103,2.68787875311682,2.6843357948528137,2.6798265752440784,2.67821613966953,2.677249878324801,2.6766057040949818,2.674351094290614,2.6711302231415175,2.6691977004520595,2.6662989164178725,2.665976829302963,2.664688480843324,2.663078045268776,2.664044306613505,2.665654742188053,2.66855352622224,2.6691977004520595,2.670486048911698,2.669519787566969,2.66855352622224,2.6662989164178725,2.665976829302963,2.6662989164178725,2.665976829302963,2.66855352622224,2.667909351992421,2.665976829302963,2.6608234354644082,2.656314215855673,2.6530933447065763,2.6521270833618473,2.651482909132028,2.64955038644257,2.64955038644257,2.6450411668338347,2.640854034340009,2.635378553386545,2.634412292041816,2.6366669018461835,2.637311076076003,2.638921511650551,2.637311076076003,2.636022727616364,2.631513508007629,2.629258898203261,2.628614723973442,2.629258898203261,2.63022515954799,2.6318355951225385,2.629580985318171,2.6279705497436225,2.6234613301348872,2.6215288074454293,2.6166975007217843,2.6137987166875973,2.6118661939981394,2.614120803802507,2.6157312393770553,2.6147649780323263,2.6144428909174167,2.613154542457778,2.6144428909174167,2.6134766295726877,2.6096115841937717,2.6070348872744944,2.604458190355217,2.604458190355217,2.6051023645850364,2.6028477547806688,2.600915232091211,2.5993047965166625,2.5993047965166625,2.5993047965166625
1745596779.6592603,2.6022035805508494,2.603491929010488,2.6041361032403074,2.6051023645850364,2.603491929010488,2.600915232091211,2.60155940632103,2.6022035805508494,2.6038140161253978,2.6028477547806688,2.6002710578613915,2.597050186712295,2.590930531529011,2.5886759217246436,2.589964270184282,2.592863054218469,2.595117664022837,2.596728099597385,2.595117664022837,2.5906084444141015,2.5841667021159083,2.575792437128257,2.569994869059883,2.5667739979107864,2.56355312676169,2.562586865416961,2.558399732923135,2.5542126004293095,2.5477708581311163,2.5397186802583747,2.5329548508452717,2.5290898054663558,2.524258498742711,2.5236143245128915,2.5245805858576205,2.52490267297253,2.52522476008744,2.525868934317259,2.5284456312365364,2.530700241040904,2.5348873735347297,2.5381082446838263,2.5387524189136457,2.5352094606496394,2.5290898054663558,2.5226480631681625,2.5168504950997885,2.514273798180511,2.514595885295421,2.5178167564445175,2.522325976053253,2.525868934317259,2.5319885895005427,2.5352094606496394,2.5381082446838263,2.5406849416031037,2.548092945246026,2.5532463390845805,2.557433471578406,2.559365994267864,2.557433471578406,2.55356842619949,2.5497033808205742,2.5477708581311163,2.549059206590755,2.552602164854761,2.5609764298424125,2.5683844334853347,2.5735378273238894,2.5770807855878957,2.5761145242431667,2.5741820015537087,2.5732157402089797,2.57289365309407,2.5732157402089797,2.5754703500133473,2.575792437128257,2.575792437128257,2.5751482628984377,2.5761145242431667,2.5754703500133473,2.5754703500133473,2.5735378273238894,2.5716053046344314,2.569028607715154,2.565163562336238,2.562586865416961,2.5580776458082255,2.547126683901297,2.5284456312365364,2.4975252682052087,2.449534288083669,2.3902702589402907,2.3235982261539903,2.254027409333503,2.1709289336868096,2.0791341059375554,1.981863797234837,1.8781517462339252,1.7715409111988265
1745596779.8648205,1.6691172086575534,1.5724910741846543,1.501953996019438,1.4819845948950388,1.5141933063860051,1.6021230887563433,1.7290254120307509,1.9068174994608853,2.1683522367675323,2.463706121139694,2.725240858446341,2.9271894794947,3.0695519842847716,3.1626351604936644,3.2144911859941203,3.2344605871185195,3.229951367509784,3.2093377921555657,3.1758407322049607,3.1339694072667044,3.084690078685526,3.0325119660701603,2.9851651601784397,2.941683399665635,2.9030329458764754,2.8692137988109607,2.8376492615498137,2.8054405500588473,2.767434270499507,2.7255629455612507,2.682081185048446,2.6395656858803704,2.603491929010488,2.5741820015537087,2.551957990624942,2.5368198962241877,2.52490267297253,2.51556214664015,2.5075099687674083,2.5007461393543053,2.494304397056112,2.4936602228262927,2.491405613021925,2.4920497872517444,2.492371874366654,2.4926939614815637,2.4920497872517444,2.490439351677196,2.488828916102648,2.4897951774473768,2.4901172645622864,2.488506828987738,2.48689639341319,2.4814209124597255,2.4756233443913516,2.4749791701615322,2.4711141247826163,2.4691816020931583,2.4691816020931583,2.46757116651861,2.4669269922887906,2.465638643829152,2.4662828180589713,2.4653165567142423,2.4649944695993327,2.465638643829152,2.4672490794037003,2.4672490794037003,2.4669269922887906,2.4620956855651457,2.4566202046116814,2.449534288083669,2.445669242704753,2.443736720015295,2.444702981360024,2.4450250684749335,2.4430925457854755,2.4401937617512885,2.4347182807978243,2.4276323642698117,2.4218347962014377,2.415715141018154,2.412816356983967,2.41023966006469,2.408951311605051,2.407018788915593,2.405086266226135,2.4018653950770386,2.3960678270086646,2.3896260847104713,2.3838285166420974,2.3777088614588138,2.372555467620259,2.3683683351264335,2.3616045057133306,2.3561290247598663,2.3483989340020344,2.3413130174740218,2.334549188060919,2.329395794222364
1745596780.0607111,2.3261749230732676,2.3203773550048936,2.3149018740514293,2.3091043059830554,2.299763779650675,2.2926778631226625,2.2881686435139272,2.2833373367902823,2.2794722914113663,2.2743188975728117,2.268199242389528,2.262723761436064,2.254993670678232,2.2485519283800386,2.243398534541484,2.2408218376222067,2.2388893149327487,2.235668443783652,2.2340580082091037,2.2301929628301878,2.225039568991633,2.224073307646904,2.2237512205319945,2.225361656106543,2.22793835302582,2.232769659749465,2.2372788793582004,2.2398555762774777,2.2417880989669356,2.241466011852026,2.2417880989669356,2.246297318575671,2.2517727995291352,2.258536628942238,2.2665888068149798,2.273996810457902,2.279794378526276,2.2878465563990176,2.296220821386669,2.308460131753236,2.3213436163496226,2.337447972095106,2.353552327840589,2.370945032045711,2.3867273006762844,2.4008991337323096,2.415715141018154,2.4334299323381856,2.451144723658217,2.46757116651861,2.4843196964939125,2.501068226469215,2.518460930674337,2.531666502385633,2.5439058127522003,2.557433471578406,2.5722494788642507,2.5851329634606373,2.596083925367566,2.6038140161253978,2.6096115841937717,2.6183079362963326,2.6260380270541646,2.633123943582177,2.641820295684738,2.6498724735574797,2.654381693166215,2.6559921287407633,2.6556700416258536,2.657280477200402,2.656314215855673,2.662111783924047,2.6634001323836856,2.667587264877511,2.671452310256427,2.6749952685204335,2.676283616980072,2.6766057040949818,2.674673181405524,2.6759615298651624,2.6759615298651624,2.6785382267844398,2.6795044881291687,2.6788603138993494,2.680148662358988,2.6795044881291687,2.6775719654397108,2.6872345788870007,2.681114923703717,2.681114923703717,2.692710059840465,2.6827253592782654,2.68787875311682,2.6901333629211877,2.692710059840465,2.6846578819677234,2.6882008402317297,2.6759615298651624,2.6862683175422717,2.6930321469553746
1745596780.262739,2.686912491772091,2.686912491772091,2.6843357948528137,2.673384832945885,2.673706920060795,2.6624338710389566,2.653415431821486,2.6614676096942276,2.6637222194985952,2.6624338710389566,2.667909351992421,2.6720964844862465,2.665976829302963,2.6566363029705826,2.6450411668338347,2.6598571741196793,2.647617863753112,2.6443969926040154,2.6518049962469377,2.650516647787299,2.648584125097841,2.642786557029467,2.6357006405014545,2.63022515954799,2.6402098601101898,2.6402098601101898,2.640854034340009,2.637311076076003,2.634412292041816,2.63022515954799,2.6241055043647066,2.617985849181423,2.6183079362963326,2.615087065147236,2.6192741976410616,2.614120803802507,2.622817155905068,2.612188281113049,2.605424451699946,2.6134766295726877,2.618952110526152,2.624749678594526,2.6202404589857906,2.6137987166875973,2.6250717657094356,2.6192741976410616,2.6144428909174167,2.6118661939981394,2.605424451699946,2.614120803802507,2.618952110526152,2.6163754136068746,2.6166975007217843,2.6134766295726877,2.6128324553428683,2.6125103682279587,2.6031698418955784,2.6105778455385007,2.6086453228490427,2.6147649780323263,2.6166975007217843,2.6137987166875973,2.61122201976832,2.6115441068832297,2.6108999326534104,2.6137987166875973,2.6137987166875973,2.6134766295726877,2.6118661939981394,2.6099336713086814,2.6070348872744944,2.6057465388148557,2.606390713044675,2.607356974389404,2.609289497078862,2.610255758423591,2.6144428909174167,2.6115441068832297,2.6105778455385007,2.607356974389404,2.6012373192061204,2.6086453228490427,2.6086453228490427,2.6108999326534104,2.6118661939981394,2.6128324553428683,2.6108999326534104,2.6080011486192234,2.6057465388148557,2.605424451699946,2.6057465388148557,2.6051023645850364,2.605424451699946,2.606390713044675,2.605424451699946,2.6041361032403074,2.6051023645850364,2.600915232091211,2.598982709401753,2.598660622286843
1745596780.4571967,2.5925409671035595,2.597050186712295,2.593829315563198,2.591252618643921,2.589320095954463,2.586421311920276,2.5832004407711793,2.5812679180817213,2.583522527886089,2.5838446150009986,2.5832004407711793,2.5799795696220826,2.5751482628984377,2.571927391749341,2.5693506948300637,2.5654856494511478,2.568062346370425,2.569028607715154,2.5693506948300637,2.5696727819449734,2.5648414752213284,2.5645193881064188,2.5590439071529545,2.5561451231187675,2.554856774659129,2.546160422556568,2.538430331798736,2.537464070454007,2.526191021432169,2.521359714708524,2.519105104904156,2.520393453363795,2.520393453363795,2.522003888938343,2.527801457006717,2.5329548508452717,2.5342431993049104,2.5329548508452717,2.5300560668110847,2.526835195661988,2.522003888938343,2.516528407984879,2.513629623950692,2.5104087528015953,2.5071878816524986,2.5062216203077696,2.503967010503402,2.5046111847332213,2.5062216203077696,2.508798317227047,2.5129854497208726,2.520071366248885,2.529733979696175,2.5377861575689167,2.5426174642925616,2.5464825096714776,2.5513138163951226,2.555500948888948,2.5551788617740385,2.5561451231187675,2.55356842619949,2.5532463390845805,2.5551788617740385,2.556789297348587,2.56323103964678,2.5696727819449734,2.5722494788642507,2.573859914438799,2.5754703500133473,2.5735378273238894,2.5696727819449734,2.568062346370425,2.5687065206002444,2.5693506948300637,2.569028607715154,2.569028607715154,2.5687065206002444,2.5658077365660574,2.5609764298424125,2.5609764298424125,2.559688081382774,2.561620604072232,2.562586865416961,2.562586865416961,2.557433471578406,2.543261638522381,2.51524005952524,2.4785221284255385,2.4260219286952633,2.36224867994315,2.2984754311910365,2.2247174818767235,2.140652744885301,2.050790439825505,1.9515876084333286,1.8433663378236815,1.7341788058693055,1.6317551033280324,1.5422148853831459,1.4926134696870577
1745596780.6636631,1.4964785150659736,1.555420457094442,1.6646079890488181,1.8118018005625345,2.0266339062072802,2.309426393097965,2.5857771376904566,2.820900731574511,2.992573163821362,3.107558263844112,3.1780953420093283,3.208049443695927,3.2112703148450237,3.194843871984631,3.1693989899067674,3.1346135814965237,3.094030605017906,3.050226757390192,3.005778735532658,2.964551584824221,2.9249348696903326,2.8846739803266246,2.8598732724785805,2.8308854321367107,2.800931330450112,2.771299315878423,2.7284617295954376,2.6904554500360973,2.6530933447065763,2.6183079362963326,2.59189679287374,2.569994869059883,2.551635903510032,2.5390745060285553,2.5284456312365364,2.5207155404787045,2.513629623950692,2.507832055882318,2.5042890976183116,2.501068226469215,2.499135703779757,2.499135703779757,2.498169442435028,2.4936602228262927,2.4901172645622864,2.48657430629828,2.482709260919364,2.480132564000087,2.471436211897526,2.4765896057360806,2.477877954195719,2.4759454315062612,2.4794883897702675,2.4730466474720743,2.4711141247826163,2.471436211897526,2.469503689208068,2.46757116651861,2.4672490794037003,2.4678932536335196,2.4653165567142423,2.4585527273011394,2.4517888978880364,2.4469575911643915,2.445669242704753,2.445669242704753,2.4450250684749335,2.443736720015295,2.4372949777171016,2.4308532354189083,2.4266661029250827,2.4211906219716184,2.41958018639707,2.4179697508225217,2.4199022735119797,2.4134605312137865,2.4144267925585154,2.414104705443606,2.408307137375232,2.402187482191948,2.3963899141235743,2.3912365202850197,2.3934911300893873,2.3960678270086646,2.3989666110428516,2.3992886981577612,2.3941353043192066,2.3886598233657423,2.380285558378091,2.3796413841482718,2.3731996418500785,2.368690422241343,2.3674020737817045,2.3561290247598663,2.3512977180362213,2.3455001499678474,2.3422792788187508,2.332294578256551,2.3184448323154356,2.318122745200526
1745596780.8596492,2.3110368286725134,2.3013742152252235,2.3052392606041394,2.2994416925357655,2.293322037352482,2.289456991973566,2.2868802950542886,2.2852698594797403,2.283659423905192,2.2814048141008243,2.276895594492089,2.2698096779640764,2.262723761436064,2.254027409333503,2.2479077541502193,2.2450089701160323,2.2456531443458516,2.2379230535880197,2.2398555762774777,2.2392114020476583,2.2392114020476583,2.2363126180134714,2.23760096647311,2.2408218376222067,2.2446868830011226,2.250162363954587,2.254993670678232,2.260791238746606,2.2640121098957025,2.2649783712404314,2.267232981044799,2.27592933314736,2.28559194659465,2.2965429085015785,2.3078159575234167,2.319089006545255,2.3290737071074545,2.3416351045889314,2.3580615474493243,2.368690422241343,2.385116865101736,2.4037979177664965,2.4170034894777928,2.4411600230960175,2.4572643788415007,2.4701478634378873,2.484641783608822,2.4988136166648474,2.511697101261234,2.528767718351446,2.5426174642925616,2.554534687544219,2.56323103964678,2.573859914438799,2.5832004407711793,2.5915747057588305,2.6031698418955784,2.6137987166875973,2.6241055043647066,2.6318355951225385,2.635378553386545,2.638277337420732,2.6434307312592864,2.6460074281785637,2.6550258673960343,2.665010567958234,2.669841874681879,2.672740658716066,2.672418571601156,2.6795044881291687,2.676283616980072,2.670486048911698,2.6682314391073305,2.672740658716066,2.6769277912098914,2.6766057040949818,2.6769277912098914,2.6827253592782654,2.6814370108186267,2.6720964844862465,2.6720964844862465,2.669519787566969,2.680148662358988,2.6833695335080847,2.6785382267844398,2.6720964844862465,2.673384832945885,2.6740290071757045,2.671774397371337,2.6766057040949818,2.682081185048446,2.6795044881291687,2.6788603138993494,2.6766057040949818,2.682081185048446,2.683047446393175,2.671774397371337,2.6833695335080847,2.6827253592782654,2.674673181405524
1745596781.0643954,2.674351094290614,2.6759615298651624,2.6843357948528137,2.6775719654397108,2.671774397371337,2.6740290071757045,2.6643663937284146,2.6662989164178725,2.6759615298651624,2.675639442750253,2.6740290071757045,2.6720964844862465,2.656314215855673,2.6672651777626015,2.670808136026608,2.6608234354644082,2.672418571601156,2.670486048911698,2.6662989164178725,2.6624338710389566,2.664688480843324,2.656314215855673,2.6576025643153116,2.6585688256600406,2.6624338710389566,2.6624338710389566,2.6595350870047696,2.6595350870047696,2.655347954510944,2.657280477200402,2.6540596060513053,2.6569583900854923,2.6556700416258536,2.6559921287407633,2.660179261234589,2.6588909127749503,2.6588909127749503,2.662111783924047,2.6598571741196793,2.6566363029705826,2.6547037802811246,2.6508387349022087,2.6498724735574797,2.6440749054891057,2.6414982085698284,2.63988777299528,2.6385994245356414,2.641820295684738,2.644719079718925,2.6450411668338347,2.6440749054891057,2.643752818374196,2.6479399508680217,2.6469736895232927,2.643752818374196,2.6479399508680217,2.646651602408383,2.645685341063654,2.6469736895232927,2.6482620379829314,2.6450411668338347,2.6453632539487444,2.6463295152934734,2.643752818374196,2.6414982085698284,2.644719079718925,2.6482620379829314,2.6443969926040154,2.6431086441443767,2.6453632539487444,2.6440749054891057,2.6385994245356414,2.645685341063654,2.651482909132028,2.6530933447065763,2.6508387349022087,2.6450411668338347,2.6421423827996477,2.6453632539487444,2.641820295684738,2.6392435987654608,2.6376331631909125,2.631513508007629,2.6385994245356414,2.6440749054891057,2.644719079718925,2.6421423827996477,2.637955250305822,2.6424644699145574,2.6366669018461835,2.6347343791567255,2.6405319472250994,2.636022727616364,2.644719079718925,2.6472957766382024,2.6489062122127507,2.650516647787299,2.6489062122127507,2.6482620379829314,2.6479399508680217
